frameID,CellID,x-axis,y-axis,time
58,50,1213,397,32
73,50,1213,397,40
0,51,1218,414,8
1,51,1213,397,16
6,51,1213,397,24
18,51,1218,358,32
38,51,1218,358,40
58,51,1213,397,48
73,51,1213,397,56
0,52,727,414,8
1,52,725,406,16
6,52,725,406,24
19,52,725,406,32
61,52,725,406,40
73,52,725,406,48
80,52,718,413,56
125,52,725,406,64
0,53,723,419,8
1,53,718,413,16
6,53,718,413,24
19,53,725,406,32
61,53,725,406,40
73,53,725,406,48
80,53,718,413,56
125,53,725,406,64
0,54,712,420,8
1,54,704,416,16
2,54,697,413,24
6,54,697,413,32
10,54,688,406,40
54,54,687,392,48
61,54,688,406,56
62,54,697,413,64
63,54,704,416,72
66,54,697,413,80
81,54,704,416,88
0,55,695,420,8
1,55,697,413,16
6,55,697,413,24
10,55,688,406,32
54,55,687,392,40
61,55,688,406,48
62,55,697,413,56
63,55,704,416,64
66,55,697,413,72
81,55,704,416,80
0,56,702,423,8
1,56,704,416,16
2,56,697,413,24
6,56,697,413,32
10,56,688,406,40
54,56,687,392,48
61,56,688,406,56
62,56,697,413,64
63,56,704,416,72
66,56,697,413,80
81,56,704,416,88
0,57,835,430,8
1,57,834,430,16
6,57,834,430,24
28,57,834,430,32
70,57,834,430,40
87,57,834,430,48
102,57,834,430,56
0,58,87,434,8
1,58,94,434,16
5,58,93,424,24
6,58,93,424,32
10,58,93,424,40
56,58,94,434,48
67,58,93,430,56
68,58,100,423,64
69,58,93,424,72
83,58,93,424,80
85,58,94,434,88
91,58,102,438,96
97,58,96,439,104
128,58,102,438,112
132,58,102,438,120
133,58,93,430,128
136,58,93,430,136
143,58,94,434,144
146,58,103,432,152
149,58,96,439,160
158,58,102,438,168
159,58,102,438,176
160,58,102,438,184
164,58,102,438,192
169,58,102,438,200
170,58,102,438,208
173,58,102,438,216
189,58,102,426,224
191,58,102,438,232
199,58,94,434,240
0,59,820,447,8
0,60,1041,449,8
1,60,1036,450,16
6,60,1036,450,24
13,60,1027,341,32
28,60,1023,342,40
29,60,1018,360,48
38,60,1023,342,56
43,60,1015,329,64
59,60,1018,360,72
61,60,1015,329,80
64,60,1006,348,88
102,60,1006,348,96
148,60,1015,329,104
163,60,1018,360,112
164,60,1027,341,120
178,60,1018,360,128
192,60,1023,342,136
197,60,1027,341,144
0,61,1023,452,8
1,61,1020,452,16
4,61,1018,360,24
6,61,1018,360,32
12,61,1015,329,40
43,61,1015,329,48
59,61,1018,360,56
61,61,1015,329,64
64,61,1006,348,72
102,61,1006,348,80
148,61,1015,329,88
163,61,1018,360,96
164,61,1027,341,104
178,61,1018,360,112
192,61,1023,342,120
197,61,1027,341,128
0,62,861,450,8
1,62,862,445,16
6,62,862,445,24
123,62,862,445,32
173,62,862,445,40
0,63,1049,456,8
143,63,1039,350,16
154,63,1030,434,24
164,63,1027,341,32
178,63,1018,360,40
192,63,1023,342,48
197,63,1027,341,56
0,64,1049,461,8
143,64,1039,350,16
154,64,1030,434,24
164,64,1027,341,32
178,64,1018,360,40
192,64,1023,342,48
197,64,1027,341,56
0,65,1019,463,8
1,65,1020,452,16
4,65,1018,360,24
6,65,1018,360,32
12,65,1015,329,40
43,65,1015,329,48
59,65,1018,360,56
61,65,1015,329,64
64,65,1006,348,72
102,65,1006,348,80
148,65,1015,329,88
163,65,1018,360,96
164,65,1027,341,104
178,65,1018,360,112
192,65,1023,342,120
197,65,1027,341,128
0,66,177,460,8
1,66,180,455,16
6,66,180,455,24
87,66,189,469,32
103,66,189,469,40
148,66,180,455,48
189,66,189,469,56
192,66,189,469,64
0,67,1041,466,8
1,67,1036,450,16
6,67,1036,450,24
13,67,1027,341,32
28,67,1023,342,40
29,67,1018,360,48
38,67,1023,342,56
43,67,1015,329,64
59,67,1018,360,72
61,67,1015,329,80
64,67,1006,348,88
102,67,1006,348,96
148,67,1015,329,104
163,67,1018,360,112
164,67,1027,341,120
178,67,1018,360,128
192,67,1023,342,136
197,67,1027,341,144
0,68,1026,468,8
1,68,1020,452,16
4,68,1018,360,24
6,68,1018,360,32
12,68,1015,329,40
43,68,1015,329,48
59,68,1018,360,56
61,68,1015,329,64
64,68,1006,348,72
102,68,1006,348,80
148,68,1015,329,88
163,68,1018,360,96
164,68,1027,341,104
178,68,1018,360,112
192,68,1023,342,120
197,68,1027,341,128
0,69,167,487,8
1,69,162,484,16
6,69,162,484,24
0,70,155,469,8
0,71,132,483,8
1,71,141,470,16
6,71,141,470,24
84,71,141,470,32
103,71,141,470,40
127,71,141,470,48
131,71,141,470,56
150,71,141,470,64
0,72,431,490,8
1,72,428,495,16
6,72,428,495,24
57,72,418,366,32
86,72,419,477,40
91,72,414,488,48
98,72,419,477,56
107,72,419,477,64
110,72,419,477,72
133,72,419,477,80
135,72,414,488,88
147,72,414,488,96
158,72,414,488,104
164,72,414,488,112
169,72,414,488,120
172,72,419,477,128
198,72,428,495,136
0,73,659,491,8
87,73,663,504,16
97,73,663,504,24
123,73,666,591,32
0,74,421,504,8
1,74,428,495,16
6,74,428,495,24
57,74,418,366,32
86,74,419,477,40
91,74,414,488,48
98,74,419,477,56
107,74,419,477,64
110,74,419,477,72
133,74,419,477,80
135,74,414,488,88
147,74,414,488,96
158,74,414,488,104
164,74,414,488,112
169,74,414,488,120
172,74,419,477,128
198,74,428,495,136
0,75,448,504,8
0,76,429,510,8
1,76,428,495,16
6,76,428,495,24
57,76,418,366,32
86,76,419,477,40
91,76,414,488,48
98,76,419,477,56
107,76,419,477,64
110,76,419,477,72
133,76,419,477,80
135,76,414,488,88
147,76,414,488,96
158,76,414,488,104
164,76,414,488,112
169,76,414,488,120
172,76,419,477,128
198,76,428,495,136
0,77,117,534,8
1,77,116,533,16
6,77,116,533,24
199,77,116,533,32
0,78,116,538,8
1,78,116,533,16
6,78,116,533,24
199,78,116,533,32
0,79,1362,565,8
1,79,1361,560,16
6,79,1361,560,24
59,79,1353,585,32
64,79,1354,578,40
83,79,1361,560,48
84,79,1361,560,56
100,79,1353,585,64
101,79,1353,585,72
102,79,1361,560,80
105,79,1353,585,88
150,79,1354,578,96
192,79,1353,585,104
199,79,1354,578,112
0,80,1358,573,8
1,80,1354,578,16
6,80,1354,578,24
59,80,1353,585,32
64,80,1354,578,40
83,80,1361,560,48
84,80,1361,560,56
100,80,1353,585,64
101,80,1353,585,72
102,80,1361,560,80
105,80,1353,585,88
150,80,1354,578,96
192,80,1353,585,104
199,80,1354,578,112
0,81,1339,578,8
1,81,1345,580,16
6,81,1345,580,24
59,81,1353,585,32
64,81,1354,578,40
83,81,1361,560,48
84,81,1361,560,56
100,81,1353,585,64
101,81,1353,585,72
102,81,1361,560,80
105,81,1353,585,88
150,81,1354,578,96
192,81,1353,585,104
199,81,1354,578,112
0,82,1337,584,8
1,82,1345,580,16
6,82,1345,580,24
59,82,1353,585,32
64,82,1354,578,40
83,82,1361,560,48
84,82,1361,560,56
100,82,1353,585,64
101,82,1353,585,72
102,82,1361,560,80
105,82,1353,585,88
150,82,1354,578,96
192,82,1353,585,104
199,82,1354,578,112
0,83,647,604,8
1,83,652,604,16
6,83,652,604,24
59,83,644,612,32
66,83,644,587,40
71,83,647,491,48
82,83,640,600,56
84,83,641,604,64
100,83,644,612,72
102,83,640,600,80
118,83,639,596,88
123,83,644,612,96
150,83,640,600,104
190,83,638,591,112
0,84,245,609,8
1,84,254,607,16
6,84,254,607,24
62,84,254,607,32
112,84,258,797,40
118,84,258,797,48
0,85,269,603,8
121,85,261,776,16
0,86,665,592,8
1,86,666,591,16
6,86,666,591,24
28,86,663,472,32
82,86,666,591,40
0,87,268,615,8
112,87,258,797,16
118,87,258,797,24
0,88,933,609,8
1,88,933,602,16
6,88,933,602,24
53,88,933,602,32
139,88,933,910,40
158,88,933,910,48
0,89,52,625,8
1,89,58,619,16
6,89,58,619,24
57,89,58,619,32
82,89,57,776,40
118,89,57,787,48
150,89,57,776,56
190,89,57,776,64
0,90,250,625,8
1,90,254,607,16
6,90,254,607,24
62,90,254,607,32
112,90,258,797,40
118,90,258,797,48
0,91,76,623,8
14,91,70,437,16
53,91,80,426,24
74,91,74,424,32
87,91,80,426,40
89,91,80,430,48
95,91,76,436,56
102,91,80,430,64
103,91,76,436,72
105,91,76,436,80
127,91,80,426,88
128,91,78,433,96
131,91,76,436,104
133,91,76,436,112
148,91,80,426,120
150,91,80,426,128
156,91,76,436,136
188,91,70,437,144
193,91,76,436,152
0,92,70,637,8
1,92,60,628,16
6,92,60,628,24
14,92,70,437,32
53,92,80,426,40
74,92,74,424,48
87,92,80,426,56
89,92,80,430,64
95,92,76,436,72
102,92,80,430,80
103,92,76,436,88
105,92,76,436,96
127,92,80,426,104
128,92,78,433,112
131,92,76,436,120
133,92,76,436,128
148,92,80,426,136
150,92,80,426,144
156,92,76,436,152
188,92,70,437,160
193,92,76,436,168
0,93,400,668,8
1,93,402,659,16
6,93,402,659,24
94,93,410,740,32
127,93,402,659,40
146,93,410,740,48
199,93,402,659,56
0,94,759,706,8
1,94,759,713,16
6,94,759,713,24
57,94,764,691,32
83,94,759,713,40
88,94,764,691,48
158,94,759,713,56
181,94,765,266,64
191,94,764,271,72
0,95,774,708,8
1,95,773,706,16
6,95,773,706,24
53,95,773,706,32
57,95,764,691,40
83,95,759,713,48
88,95,764,691,56
158,95,759,713,64
181,95,765,266,72
191,95,764,271,80
0,96,748,713,8
62,96,741,701,16
150,96,741,701,24
0,97,778,714,8
1,97,773,706,16
6,97,773,706,24
53,97,773,706,32
57,97,764,691,40
83,97,759,713,48
88,97,764,691,56
158,97,759,713,64
181,97,765,266,72
191,97,764,271,80
0,98,779,719,8
1,98,773,706,16
6,98,773,706,24
53,98,773,706,32
57,98,764,691,40
83,98,759,713,48
88,98,764,691,56
158,98,759,713,64
181,98,765,266,72
191,98,764,271,80
0,99,749,718,8
1,99,759,713,16
6,99,759,713,24
57,99,764,691,32
83,99,759,713,40
88,99,764,691,48
158,99,759,713,56
181,99,765,266,64
191,99,764,271,72
0,100,753,720,8
1,100,759,713,16
6,100,759,713,24
57,100,764,691,32
83,100,759,713,40
88,100,764,691,48
158,100,759,713,56
181,100,765,266,64
191,100,764,271,72
0,101,759,727,8
1,101,759,713,16
6,101,759,713,24
57,101,764,691,32
83,101,759,713,40
